id,tokens,ner_tags,input_ids,token_type_ids,attention_mask,labels,true_labels,pred_labels,reward
2530,"['Just' 'when' 'I' 'can' 'get' 'all' 'my' 'hair' 'into' 'a' 'ponytail'
 'without' 'looking' 'like' 'a' 'little' 'German' 'boy+rat' 'tail' ','
 ""I'm"" 'cutting' 'it' 'again' 'tomorrow' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2074  2043  1045  2064  2131  2035  2026  2606  2046  1037 18865
  2302  2559  2066  1037  2210  2446  2879  1009  9350  5725  1010  1045
  1005  1049  6276  2009  2153  4826  1012   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0 -100 -100    0    0    0 -100 -100    0    0
    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2531,"['Big' 'hero' '6' 'booked' 'for' 'tomorrow' ',' 'me' 'and' 'Lou' 'are'
 'still' '7' 'at' 'heart']",[3 4 4 0 0 0 0 0 0 9 0 0 0 0 0],"[  101  2502  5394  1020 17414  2005  4826  1010  2033  1998 10223  2024
  2145  1021  2012  2540   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    3    4    4    0    0    0    0    0    0    9    0    0    0
    0    0 -100]","['B-creative-work', 'I-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
2532,"['@louiseweir2014' '@bill6378' '@DandyInTheRough' '@truckpartstores'
 '@wplrfanfm' '@jc' '@CAT1PRO' '@chillyzag' '@nibjones' 'happy' 'Thursday'
 'to' 'you' 'too']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1030  8227 19845  2099 11387 16932  1030  3021  2575 24434  2620
  1030  4907  5149 18447  5886 10593  1030  4744 26950 19277  2015  1030
  1059 24759 12881  2319 16715  1030 29175  1030  4937  2487 21572  1030
 24222  4143  2290  1030  9152  2497 14339  2229  3407  9432  2000  2017
  2205   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0 -100 -100 -100 -100 -100    0 -100 -100 -100 -100    0 -100
 -100 -100 -100 -100    0 -100 -100 -100 -100    0 -100 -100 -100 -100
 -100    0 -100    0 -100 -100 -100    0 -100 -100 -100    0 -100 -100
 -100 -100    0    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2533,"['RT' '@boycottsunnews' ':' 'Who' 'runs' 'sun' 'news' '?' 'Harper' ""'s""
 'men' 'do' '.' '#cdnpoli' '#topoli' '#cpc' 'http://t.co/v6rKLgHdg9']",[0 0 0 0 0 1 2 0 9 0 0 0 0 0 0 0 0],"[  101 19387  1030 17757 19729  2638  9333  1024  2040  3216  3103  2739
  1029  8500  1005  1055  2273  2079  1012  1001  3729 16275 10893  1001
  2327 10893  1001 28569  8299  1024  1013  1013  1056  1012  2522  1013
 25275  8024  2140  5603  2094  2290  2683   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[-100    0    0 -100 -100 -100 -100    0    0    0    1    2    0    9
    0 -100    0    0    0    0 -100 -100 -100    0 -100 -100    0 -100
    0 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100 -100]","['O', 'O', 'O', 'O', 'O', 'B-corporation', 'I-corporation', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
2534,"['2' 'years' 'and' '9' 'months' ',' 'but' 'who' ""'s"" 'counting' '.'
 'October' '24th' '2017' ""can't"" 'come' 'soon' 'enough' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1016  2086  1998  1023  2706  1010  2021  2040  1005  1055 10320
  1012  2255 13386  2418  2064  1005  1056  2272  2574  2438  1012   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0 -100    0    0    0
    0    0    0 -100 -100    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2535,"['RT' '@onedirection' ':' 'The' '#FOURVinyl' 'is' 'available' 'on' 'the'
 '15th' 'Dec' '!' 'Pre-order' 'now' ':' 'http://t.co/A4W0GfxUtz'
 'http://t.co/Bk7UpIexPD']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101 19387  1030  2028  4305  2890  7542  1024  1996  1001  2176  6371
  8516  2003  2800  2006  1996  6286 11703   999  3653  1011  2344  2085
  1024  8299  1024  1013  1013  1056  1012  2522  1013  1037  2549  2860
  2692 25708  2595 20267  8299  1024  1013  1013  1056  1012  2522  1013
 23923  2581  6279  2666  2595 17299   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0 -100 -100 -100 -100    0    0    0 -100 -100 -100    0
    0    0    0    0    0    0    0 -100 -100    0    0    0 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100    0 -100
 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2536,['Thu' 'Jan' '22' '03:07' ':' '43' 'IST' '2015'],[0 0 0 0 0 0 0 0],"[  101 16215  2226  5553  2570  6021  1024  5718  1024  4724 21541  2325
   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1],[-100    0 -100    0    0    0 -100 -100    0    0    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2537,"['@null' 'http://t.co/9LprX2lltS' 'December' '30' ',' '2014' 'at' '12:28'
 'AM']",[0 0 0 0 0 0 0 0 0],"[  101  1030 19701  8299  1024  1013  1013  1056  1012  2522  1013  1023
 14277  2099  2595  2475  3363  3215  2285  2382  1010  2297  2012  2260
  1024  2654  2572   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100    0 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100    0    0    0    0    0    0 -100 -100    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2538,"['5' 'things' 'you' 'need' 'to' 'know' 'Monday' 'http://t.co/DEcBH5LcXH'
 'http://t.co/sERc9NnWAH']",[0 0 0 0 0 0 0 0 0],"[  101  1019  2477  2017  2342  2000  2113  6928  8299  1024  1013  1013
  1056  1012  2522  1013 11703 23706  2629 15472  2595  2232  8299  1024
  1013  1013  1056  1012  2522  1013 14262  2278  2683 10695  4213  2232
   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100    0 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2539,['Gonna' 'buy' '$20' 'worth' 'of' 'snacks' 'for' '1st' 'block' 'tomorrow'],[0 0 0 0 0 0 0 0 0 0],"[  101  6069  4965  1002  2322  4276  1997 27962  2005  3083  3796  4826
   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    0 -100    0    0    0    0    0    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2540,"['2020' 'PG' 'Khalen' '""' 'KK' '""' 'Robinson' 'w/' '15' 'points' ',' '5'
 'assists' ',' '2' 'rebounds' 'and' '2' 'steals' 'in' '9th' 'grade' 'game'
 '!!' 'Episcopal' '48' 'Mayflower' '36']","[ 0  0  9 10 10 10 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  5  0  5  0]","[  101 12609 18720  1047 15238  2078  1000  1047  2243  1000  6157  1059
  1013  2321  2685  1010  1019  8456  1010  1016 11049  1998  1016 15539
  1999  6280  3694  2208   999   999  9134  4466  2089 14156  4029   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    9 -100 -100   10   10 -100   10   10    0 -100    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0 -100    5    0    5 -100    0 -100]","['O', 'O', 'B-person', 'I-person', 'I-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'B-group', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
2541,"['TmarTn' 'may' 'have' 'gotten' 'a' 'GT-R' ',' 'by' ""I'm"" 'getting' 'a'
 'M3' ',' 'and' 'that' 'means' 'something' '.']",[ 0  0  0  0  0 11  0  0  0  0  0 11  0  0  0  0  0  0],"[  101  1056 22345  2078  2089  2031  5407  1037 14181  1011  1054  1010
  2011  1045  1005  1049  2893  1037 29061  1010  1998  2008  2965  2242
  1012   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100    0    0    0    0   11 -100 -100    0    0    0
 -100 -100    0    0   11    0    0    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
2542,"['Winter' 'or' 'not' 'it' ""'s"" 'so' 'hard' 'to' 'wake' 'up' 'in' 'a'
 'good' 'mood' 'when' 'the' 'sun' ""isn't"" 'shining' 'through' 'the'
 'window']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 101 3467 2030 2025 2009 1005 1055 2061 2524 2000 5256 2039 1999 1037
 2204 6888 2043 1996 3103 3475 1005 1056 9716 2083 1996 3332  102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0 -100    0    0    0    0    0    0    0
    0    0    0    0    0    0 -100 -100    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2543,"['RT' '@HarryxClique' ':' 'RT' 'IF' 'I' 'SHOULD' 'POST' 'A' 'SELFIE' '?'
 'just' 'a' 'warning' ':' 'your' 'reaction' 'may' 'be' 'similar' 'to'
 'this' 'http://t.co/mMgy2EITEB']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101 19387  1030  4302  2595 20464  7413  1024 19387  2065  1045  2323
  2695  1037  2969  2666  1029  2074  1037  5432  1024  2115  4668  2089
  2022  2714  2000  2023  8299  1024  1013  1013  1056  1012  2522  1013
  3461  6292  2475 20175 15878   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","[-100    0    0 -100 -100 -100 -100    0    0    0    0    0    0    0
    0 -100    0    0    0    0    0    0    0    0    0    0    0    0
    0 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2544,"['@janzensational' 'at' 'least' 'may' 'date' 'ka' 'na' 'hahaha' '.'
 'Goodluck' 'zen' '!' ':' '*']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1030  5553 10431 26652  2389  2012  2560  2089  3058 10556  6583
  5292  3270  3270  1012  2204  7630  3600 16729   999  1024  1008   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100 -100 -100    0    0    0    0    0    0    0 -100
 -100    0    0 -100 -100    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2545,"['@thegreatcoso' '@Boavenossa' '@EllaTambien06' 'alejo' 'vive' 'en' 'mar'
 'del' 'plata' '.' 'Que' 'puede' 'saber' 'de' 'cosas' 'del' 'campo' '?']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1030  1996 17603  4017 13186  2080  1030  8945 10696 15460  3736
  1030 11713 15464 11283  2078  2692  2575 15669  5558  6819  3726  4372
  9388  3972 19534  1012 10861 16405 14728 25653  2139  2522 20939  3972
 22339  1029   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1]","[-100    0 -100 -100 -100 -100 -100    0 -100 -100 -100 -100    0 -100
 -100 -100 -100 -100 -100    0 -100    0 -100    0    0    0    0    0
    0    0 -100    0    0    0 -100    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2546,['Thinking' 'about' 'Bowlounge' 'on' 'Saturday' 'night' '.'],[0 0 7 0 0 0 0],[  101  3241  2055  4605 23709  3351  2006  5095  2305  1012   102],[0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    7 -100 -100    0    0    0    0 -100],"['O', 'O', 'B-location', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
2547,"['sur' 'mon' 'blog' ""j'ai"" 'entre' '10' 'et' '20' 'visites' 'par' 'jour'
 '!!!']",[0 0 0 0 0 0 0 0 0 0 0 0],"[  101  7505 12256  9927  1046  1005  9932  4372  7913  2184  3802  2322
  3942  2229 11968  8183  3126   999   999   999   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0 -100 -100    0 -100    0    0    0    0 -100
    0    0 -100    0 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2548,['Have' 'a' 'great' 'Saturday' '!!' 'http://t.co/NkMiywDkzI'],[0 0 0 0 0 0],"[  101  2031  1037  2307  5095   999   999  8299  1024  1013  1013  1056
  1012  2522  1013 25930  4328  2100 21724  2243  5831   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0 -100    0 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O']",10.0
2549,"['Film' 'Friday' '(' '12/12)' ':' 'This' 'Week' ""'s"" 'New' 'Movies'
 '&amp;' 'Trailers' ':' 'Find' 'a' 'guide' 'to' 'this' 'weekend' ""'s""
 'new' 'theatrical' 'releases' '...' 'http://t.co/WBTZujqU8n']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2143  5958  1006  2260  1013  2260  1007  1024  2023  2733  1005
  1055  2047  5691  1004 23713  1025 21389  1024  2424  1037  5009  2000
  2023  5353  1005  1055  2047  8900  7085  1012  1012  1012  8299  1024
  1013  1013  1056  1012  2522  1013 25610  5753 23049 28940  2620  2078
   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0 -100 -100 -100    0    0    0    0 -100    0
    0    0 -100 -100    0    0    0    0    0    0    0    0    0 -100
    0    0    0    0 -100 -100    0 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2550,"['Good' '#Monday' 'Morning' 'to' 'ya' '!' '@rashivats' '@FOX26Caitilin'
 'and' 'I' 'are' 'all' 'ready' 'to' 'help' 'you' '#WAKEUP' '&amp;' 'get'
 'to' 'work' 'on' 'time' '!' 'Join' 'us' 'on' '#fox26']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  2204  1001  6928  2851  2000  8038   999  1030 23438 11444  3215
  1030  4419 23833  3540 25090  4115  1998  1045  2024  2035  3201  2000
  2393  2017  1001  5256  6279  1004 23713  1025  2131  2000  2147  2006
  2051   999  3693  2149  2006  1001  4419 23833   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]","[-100    0    0 -100    0    0    0    0    0 -100 -100 -100    0 -100
 -100 -100 -100 -100    0    0    0    0    0    0    0    0    0 -100
 -100    0 -100 -100    0    0    0    0    0    0    0    0    0    0
 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2551,['spm' '2015' 'date' 'is' 'on' '2' 'nov'],[0 0 0 0 0 0 0],[  101 11867  2213  2325  3058  2003  2006  1016 13292   102],[0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1],[-100    0 -100    0    0    0    0    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2552,"['#AAP' 'Thanks' 'Chetan' 'Sahebrao' 'Pagar' 'From' 'MAHARASHTRA(INDIA'
 ')' 'For' 'Donating' 'Rs' '1000' 'With' 'Tx' '.' 'NE448350' 'On' 'Feb'
 '1' '2015' '11:11' 'PM' '#MyCMKejriwal']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  1001  9779  2361  4283 25157  2319  7842  5369 10024  2080  6643
  6843  2013 12434  1006  2634  1007  2005 24260  3436 12667  6694  2007
 19067  1012 11265 22932  2620 19481  2692  2006 13114  1015  2325  2340
  1024  2340  7610  1001  2026 27487  3489  3501  3089 13476   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]","[-100    0 -100 -100    0    0 -100    0 -100 -100 -100    0 -100    0
    0 -100 -100    0    0    0 -100    0    0    0    0    0    0 -100
 -100 -100 -100    0    0    0    0    0 -100 -100    0    0 -100 -100
 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
2553,"['RT' '@CustomCutting' ':' 'January' 'Sale' 'Tassel' 'Necklace' '.' 'Free'
 'matching' 'by' 'JabberDuck' 'http://t.co/E49oQfaG69'
 'http://t.co/V5KFkxnfBC']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0],"[  101 19387  1030  7661 12690  3436  1024  2254  5096 11937 21218 13016
  1012  2489  9844  2011 14855 29325  8566  3600  8299  1024  1013  1013
  1056  1012  2522  1013  1041 26224  2080  4160  7011  2290  2575  2683
  8299  1024  1013  1013  1056  1012  2522  1013  1058  2629  2243 24316
  2595  2078 26337  2278   102]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0 -100 -100 -100    0    0    0    0 -100    0    0    0
    0    0    1 -100 -100 -100    0 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100    0 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
